domain,ip,is_dga,confidence
»ˆcãì;=ôqkoœœl\005u^äïêšïø\025ö¯ƒâƒ\025µà\032'ÿºü.pwned.se,192.168.0.53,1,1.0
»ˆcãì;=ôqkoœœl\005u^äïêšïø\025ö¯ƒâƒ\025µà\032'ÿºü.pwned.se,192.168.0.1,1,1.0
»ˆcãì;=ôqkoœœl\005u^äïêšïø\025ö¯ƒâƒ\025µà\032'ÿºü.pwned.se,192.168.0.53,1,1.0
»ˆcãì;=ôqkoœœl\005u^äïêšïø\025ö¯ƒâƒ\025µà\032'ÿºü.pwned.se,192.168.0.1,1,1.0
»¡àìé²q¬lúƒ“-.pwned.se,192.168.0.53,1,0.92
»¡àìé²q¬lúƒ“-.pwned.se,192.168.0.1,1,0.92
»¡àìé²q¬lúƒ“-.pwned.se,192.168.0.53,1,0.92
»¡àìé²q¬lúƒ“-.pwned.se,192.168.0.1,1,0.92
¾\fû\026<@±#é.pwned.se,192.168.0.53,1,1.0
¾\fû\026<@±#é.pwned.se,192.168.0.1,1,1.0
¾\fû\026<@±#é.pwned.se,192.168.0.53,1,1.0
¾\fû\026<@±#é.pwned.se,192.168.0.1,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.53,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.1,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.53,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.1,1,1.0
ëjðì‰ rññco\m2ÿªb\002\037\034öh¹ò:gæä9w½e.pwned.se,192.168.0.53,1,1.0
ëjðì‰ rññco\m2ÿªb\002\037\034öh¹ò:gæä9w½e.pwned.se,192.168.0.1,1,1.0
ëjðì‰ rññco\m2ÿªb\002\037\034öh¹ò:gæä9w½e.pwned.se,192.168.0.53,1,1.0
ëjðì‰ rññco\m2ÿªb\002\037\034öh¹ò:gæä9w½e.pwned.se,192.168.0.1,1,1.0
è‹u av5.pwned.se,192.168.0.53,0,0.7
è‹u av5.pwned.se,192.168.0.1,0,0.7
è‹u av5.pwned.se,192.168.0.53,0,0.7
è‹u av5.pwned.se,192.168.0.1,0,0.7
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
clients6.google.com,192.168.0.54,0,0.52
clients6.google.com,192.168.0.1,0,0.52
talkgadget.google.com,192.168.0.54,1,0.63
talkgadget.google.com,192.168.0.1,1,0.63
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
wpad.pwned.se,192.168.0.54,0,0.96
wpad.pwned.se,192.168.0.1,0,0.96
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
apps.skype.com,192.168.0.54,0,0.96
connect.facebook.net,192.168.0.54,0,0.99
ajax.aspnetcdn.com,192.168.0.54,0,1.0
s-static.ak.facebook.com,192.168.0.54,0,0.99
www.facebook.com,192.168.0.54,0,0.96
www.facebook.com,192.168.0.1,0,0.96
apps.skype.com,192.168.0.1,0,0.96
connect.facebook.net,192.168.0.1,0,0.99
ajax.aspnetcdn.com,192.168.0.1,0,1.0
s-static.ak.facebook.com,192.168.0.1,0,0.99
vassg141.ocsp.omniroot.com,192.168.0.54,0,0.61
vassg141.ocsp.omniroot.com,192.168.0.1,0,0.61
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
www.google.com,192.168.0.51,0,0.96
www.google.com,192.168.0.51,0,0.96
www.google.com,192.168.0.51,0,0.96
www.google.com,192.168.0.1,0,0.96
www.google.com,192.168.0.1,0,0.96
www.google.com,192.168.0.1,0,0.96
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
clients4.google.com,192.168.0.54,0,0.52
clients4.google.com,192.168.0.1,0,0.52
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
notify8.dropbox.com,192.168.0.54,0,0.7
notify8.dropbox.com,192.168.0.1,0,0.7
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.53,1,1.0
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.1,1,1.0
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.53,1,1.0
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.1,1,1.0
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001,192.168.0.53,1,1.0
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001,192.168.0.1,1,1.0
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001.pwned.se,192.168.0.53,1,1.0
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001.pwned.se,192.168.0.1,1,1.0
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê,192.168.0.53,0,0.96
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê,192.168.0.1,0,0.96
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê.pwned.se,192.168.0.53,0,0.96
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê.pwned.se,192.168.0.1,0,0.96
"š'\u00ADuñ¬ßaýxä\006‚hftpa$‰t\177¦\037 ôë;,.8\022i…72ì7üþ-þ\177~.©aúj\021>\026’\024xõéa\t\a\004´;\027—@{™\021ÿ¾\u008Dûa~\001",192.168.0.53,1,1.0
"š'\u00ADuñ¬ßaýxä\006‚hftpa$‰t\177¦\037 ôë;,.8\022i…72ì7üþ-þ\177~.©aúj\021>\026’\024xõéa\t\a\004´;\027—@{™\021ÿ¾\u008Dûa~\001",192.168.0.1,1,1.0
"š'\u00ADuñ¬ßaýxä\006‚hftpa$‰t\177¦\037 ôë;,.8\022i…72ì7üþ-þ\177~.©aúj\021>\026’\024xõéa\t\a\004´;\027—@{™\021ÿ¾\u008Dûa~\001.pwned.se",192.168.0.53,1,1.0
"š'\u00ADuñ¬ßaýxä\006‚hftpa$‰t\177¦\037 ôë;,.8\022i…72ì7üþ-þ\177~.©aúj\021>\026’\024xõéa\t\a\004´;\027—@{™\021ÿ¾\u008Dûa~\001.pwned.se",192.168.0.1,1,1.0
°s_ê›@7’'\025w|%t¦íà1½t¦w.pwned.se,192.168.0.53,1,1.0
°s_ê›@7’'\025w|%t¦íà1½t¦w.pwned.se,192.168.0.1,1,1.0
°s_ê›@7’'\025w|%t¦íà1½t¦w.pwned.se,192.168.0.53,1,1.0
°s_ê›@7’'\025w|%t¦íà1½t¦w.pwned.se,192.168.0.1,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.53,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.1,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.53,1,1.0
"å[[bh6âþ*,\026˜¶qµg.pwned.se",192.168.0.1,1,1.0
ëjðì‰ rññco\m2ÿªb\002\037\034öh¹ò:gæä9w½e.pwned.se,192.168.0.53,1,1.0
ëjðì‰ rññco\m2ÿªb\002\037\034öh¹ò:gæä9w½e.pwned.se,192.168.0.1,1,1.0
ëjðì‰ rññco\m2ÿªb\002\037\034öh¹ò:gæä9w½e.pwned.se,192.168.0.53,1,1.0
ëjðì‰ rññco\m2ÿªb\002\037\034öh¹ò:gæä9w½e.pwned.se,192.168.0.1,1,1.0
clients4.google.com,192.168.0.54,0,0.52
clients4.google.com,192.168.0.1,0,0.52
è‹u av5.pwned.se,192.168.0.53,0,0.7
è‹u av5.pwned.se,192.168.0.1,0,0.7
è‹u av5.pwned.se,192.168.0.53,0,0.7
è‹u av5.pwned.se,192.168.0.1,0,0.7
clients6.google.com,192.168.0.54,0,0.52
clients6.google.com,192.168.0.1,0,0.52
talkgadget.google.com,192.168.0.54,1,0.63
talkgadget.google.com,192.168.0.1,1,0.63
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
chrome.google.com,192.168.0.54,0,1.0
chrome.google.com,192.168.0.1,0,1.0
clients4.google.com,192.168.0.54,0,0.52
clients4.google.com,192.168.0.1,0,0.52
safebrowsing.google.com,192.168.0.54,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing-cache.google.com,192.168.0.54,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
clients6.google.com,192.168.0.54,0,0.52
clients6.google.com,192.168.0.1,0,0.52
talkgadget.google.com,192.168.0.54,1,0.63
talkgadget.google.com,192.168.0.1,1,0.63
play.google.com,192.168.0.54,0,0.96
play.google.com,192.168.0.1,0,0.96
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
wpad.pwned.se,192.168.0.54,0,0.96
wpad.pwned.se,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
clients4.google.com,192.168.0.54,0,0.52
clients4.google.com,192.168.0.1,0,0.52
password-ned-xp.pwned.se,192.168.0.51,1,0.89
password-ned-xp.pwned.se,192.168.0.51,1,0.89
password-ned-xp.pwned.se,192.168.0.1,1,0.89
password-ned-xp.pwned.se,192.168.0.1,1,0.89
password-ned-xp,192.168.0.51,1,0.89
password-ned-xp,192.168.0.51,1,0.89
password-ned-xp,192.168.0.1,1,0.89
password-ned-xp,192.168.0.1,1,0.89
password-ned-xp.pwned.se,192.168.0.51,1,0.89
password-ned-xp.pwned.se,192.168.0.51,1,0.89
password-ned-xp.pwned.se,192.168.0.1,1,0.89
password-ned-xp.pwned.se,192.168.0.1,1,0.89
password-ned-xp,192.168.0.51,1,0.89
password-ned-xp,192.168.0.51,1,0.89
password-ned-xp,192.168.0.1,1,0.89
password-ned-xp,192.168.0.1,1,0.89
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
clients4.google.com,192.168.0.54,0,0.52
clients4.google.com,192.168.0.1,0,0.52
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
www.google.com,192.168.0.51,0,0.96
www.google.com,192.168.0.51,0,0.96
www.google.com,192.168.0.51,0,0.96
www.google.com,192.168.0.1,0,0.96
www.google.com,192.168.0.1,0,0.96
www.google.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
clients2.google.com,192.168.0.54,0,0.52
clients2.google.com,192.168.0.1,0,0.52
clients6.google.com,192.168.0.54,0,0.52
clients6.google.com,192.168.0.1,0,0.52
talkgadget.google.com,192.168.0.54,1,0.63
talkgadget.google.com,192.168.0.1,1,0.63
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
client.dropbox.com,192.168.0.54,0,1.0
client.dropbox.com,192.168.0.1,0,1.0
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
mirrorlist.centos.org,192.168.0.2,1,0.63
mirrorlist.centos.org,192.168.0.2,1,0.63
mirrorlist.centos.org,8.8.8.8,1,0.63
mirrorlist.centos.org,8.8.8.8,1,0.63
mirror.23media.de,192.168.0.2,0,1.0
mirror.pmf.kg.ac.rs,192.168.0.2,0,1.0
mirror.23media.de,8.8.8.8,0,1.0
mirror.pmf.kg.ac.rs,8.8.8.8,0,1.0
clients2.google.com,192.168.0.54,0,0.52
clients2.google.com,192.168.0.1,0,0.52
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
wpad.pwned.se,192.168.0.54,0,0.96
wpad.pwned.se,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
11.client-channel.google.com,192.168.0.54,0,0.62
11.client-channel.google.com,192.168.0.1,0,0.62
clients4.google.com,192.168.0.54,0,0.52
clients4.google.com,192.168.0.1,0,0.52
clients6.google.com,192.168.0.54,0,0.52
clients6.google.com,192.168.0.1,0,0.52
talkgadget.google.com,192.168.0.54,1,0.63
talkgadget.google.com,192.168.0.1,1,0.63
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
safebrowsing.google.com,192.168.0.54,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing-cache.google.com,192.168.0.54,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
accounts.google.com,192.168.0.54,0,1.0
accounts.google.com,192.168.0.1,0,1.0
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
a.config.skype.com,192.168.0.54,0,0.96
a.config.skype.com,192.168.0.1,0,0.96
mscrl.microsoft.com,192.168.0.54,0,0.95
mscrl.microsoft.com,192.168.0.1,0,0.95
www.microsoft.com,192.168.0.54,0,0.96
www.microsoft.com,192.168.0.1,0,0.96
crl.microsoft.com,192.168.0.54,0,0.96
crl.microsoft.com,192.168.0.1,0,0.96
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
password-ned-xp.pwned.se,192.168.0.51,1,0.89
password-ned-xp.pwned.se,192.168.0.51,1,0.89
password-ned-xp.pwned.se,192.168.0.1,1,0.89
password-ned-xp.pwned.se,192.168.0.1,1,0.89
password-ned-xp,192.168.0.51,1,0.89
password-ned-xp,192.168.0.51,1,0.89
password-ned-xp,192.168.0.1,1,0.89
password-ned-xp,192.168.0.1,1,0.89
password-ned-xp.pwned.se,192.168.0.51,1,0.89
password-ned-xp.pwned.se,192.168.0.51,1,0.89
password-ned-xp.pwned.se,192.168.0.1,1,0.89
password-ned-xp.pwned.se,192.168.0.1,1,0.89
password-ned-xp,192.168.0.51,1,0.89
password-ned-xp,192.168.0.51,1,0.89
password-ned-xp,192.168.0.1,1,0.89
password-ned-xp,192.168.0.1,1,0.89
clients6.google.com,192.168.0.54,0,0.52
clients6.google.com,192.168.0.1,0,0.52
talkgadget.google.com,192.168.0.54,1,0.63
talkgadget.google.com,192.168.0.1,1,0.63
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
wpad.pwned.se,192.168.0.54,0,0.96
wpad.pwned.se,192.168.0.1,0,0.96
www.google.com,192.168.0.51,0,0.96
www.google.com,192.168.0.51,0,0.96
www.google.com,192.168.0.51,0,0.96
www.google.com,192.168.0.1,0,0.96
www.google.com,192.168.0.1,0,0.96
www.google.com,192.168.0.1,0,0.96
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
clients4.google.com,192.168.0.54,0,0.52
clients4.google.com,192.168.0.1,0,0.52
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
api.trap.skype.net,192.168.0.54,0,1.0
api.trap.skype.net,192.168.0.1,0,1.0
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
clients6.google.com,192.168.0.54,0,0.52
clients6.google.com,192.168.0.1,0,0.52
talkgadget.google.com,192.168.0.54,1,0.63
talkgadget.google.com,192.168.0.1,1,0.63
www.facebook.com,192.168.0.53,0,0.96
www.facebook.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.51,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
pop.gmx.com,192.168.0.1,0,0.96
mail.google.com,192.168.0.54,0,1.0
mail.google.com,192.168.0.1,0,1.0
www.google.com,192.168.0.54,0,0.96
www.google.com,192.168.0.1,0,0.96
generatesecurepassword.com,192.168.0.53,1,0.89
generatesecurepassword.com,192.168.0.1,1,0.89
\022†÷òüøçny\bø7«ukxádˆíû‹íêsãžššlv:p\ní.pwned.se,192.168.0.53,1,1.0
\022†÷òüøçny\bø7«ukxádˆíû‹íêsãžššlv:p\ní.pwned.se,192.168.0.1,1,1.0
\022†÷òüøçny\bø7«ukxádˆíû‹íêsãžššlv:p\ní.pwned.se,192.168.0.53,1,1.0
\022†÷òüøçny\bø7«ukxádˆíû‹íêsãžššlv:p\ní.pwned.se,192.168.0.1,1,1.0
\026&d¬tlù·z¤.pwned.se,192.168.0.53,1,1.0
\026&d¬tlù·z¤.pwned.se,192.168.0.1,1,1.0
\026&d¬tlù·z¤.pwned.se,192.168.0.53,1,1.0
\026&d¬tlù·z¤.pwned.se,192.168.0.1,1,1.0
safebrowsing.google.com,192.168.0.54,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing-cache.google.com,192.168.0.54,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
/þ*y\¶š.pwned.se,192.168.0.53,0,0.96
/þ*y\¶š.pwned.se,192.168.0.1,0,0.96
/þ*y\¶š.pwned.se,192.168.0.53,0,0.96
/þ*y\¶š.pwned.se,192.168.0.1,0,0.96
>3æî]¢„ë£›b×\u008Dåà†±‹åml©}6®\032>³s=.pwned.se,192.168.0.53,1,1.0
>3æî]¢„ë£›b×\u008Dåà†±‹åml©}6®\032>³s=.pwned.se,192.168.0.1,1,1.0
>3æî]¢„ë£›b×\u008Dåà†±‹åml©}6®\032>³s=.pwned.se,192.168.0.53,1,1.0
>3æî]¢„ë£›b×\u008Dåà†±‹åml©}6®\032>³s=.pwned.se,192.168.0.1,1,1.0
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.51,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing.google.com,192.168.0.1,1,0.88
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.51,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
safebrowsing-cache.google.com,192.168.0.1,1,0.89
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.53,1,1.0
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.1,1,1.0
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.53,1,1.0
"_}ë’iúv0}ñdñ’`e\027;iˆ´óý´é""8\034.pwned.se",192.168.0.1,1,1.0
e.pwned.se,192.168.0.53,0,0.96
e.pwned.se,192.168.0.1,0,0.96
e.pwned.se,192.168.0.53,0,0.96
e.pwned.se,192.168.0.1,0,0.96
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001,192.168.0.53,1,1.0
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001,192.168.0.1,1,1.0
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001.pwned.se,192.168.0.53,1,1.0
}½q\a gž>@kœž˜˜\030åk8áaøï\úòì!\023ææ\021¦\025¦rî5ä.\b•2æ|õ†ešjwenârój¬ö¬>-±èqd=ñ…ö½ê^\034=ü\001.pwned.se,192.168.0.1,1,1.0
~.pwned.se,192.168.0.53,0,0.96
~.pwned.se,192.168.0.1,0,0.96
~.pwned.se,192.168.0.53,0,0.96
~.pwned.se,192.168.0.1,0,0.96
ƒ\030xa¦“\027\t.pwned.se,192.168.0.53,1,1.0
ƒ\030xa¦“\027\t.pwned.se,192.168.0.1,1,1.0
ƒ\030xa¦“\027\t.pwned.se,192.168.0.53,1,1.0
ƒ\030xa¦“\027\t.pwned.se,192.168.0.1,1,1.0
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê,192.168.0.53,0,0.96
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê,192.168.0.1,0,0.96
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê.pwned.se,192.168.0.53,0,0.96
‡_?.n4\aä]ÿ]&rè='\037}æ·/…'½´\177œj¨#ºt”ê.pwned.se,192.168.0.1,0,0.96
"š'\u00ADuñ¬ßaýxä\006‚hftpa$‰t\177¦\037 ôë;,.8\022i…72ì7üþ-þ\177~.©aúj\021>\026’\024xõéa\t\a\004´;\027—@{™\021ÿ¾\u008Dûa~\001",192.168.0.53,1,1.0
"š'\u00ADuñ¬ßaýxä\006‚hftpa$‰t\177¦\037 ôë;,.8\022i…72ì7üþ-þ\177~.©aúj\021>\026’\024xõéa\t\a\004´;\027—@{™\021ÿ¾\u008Dûa~\001",192.168.0.1,1,1.0
"š'\u00ADuñ¬ßaýxä\006‚hftpa$‰t\177¦\037 ôë;,.8\022i…72ì7üþ-þ\177~.©aúj\021>\026’\024xõéa\t\a\004´;\027—@{™\021ÿ¾\u008Dûa~\001.pwned.se",192.168.0.53,1,1.0
